Time (seconds),f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.45891189575195,30.296300888061523,41.731605529785156,38.870849609375,39.20654296875,39.786376953125
0.009999999776482582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.089473724365234,31.744792938232422,37.26881408691406,52.1612548828125,16.13525390625,0
0.019999999552965164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.281009674072266,31.85552406311035,37.29694747924805,54.007568359375,16.0589599609375,0
0.029999999329447746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.474342346191406,31.989002227783203,37.317298889160156,55.869140625,16.5472412109375,0
0.03999999910593033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.65510559082031,32.13624572753906,37.3196907043457,57.9595947265625,17.5390625,0
0.05000000074505806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.799354553222656,32.28169250488281,37.30532455444336,60.416259765625,19.4921875,0
0.05999999865889549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8885383605957,32.41038131713867,37.26163101196289,63.1170654296875,22.48291015625,0
0.07000000029802322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.93223190307617,32.50973892211914,37.19938278198242,66.5960693359375,26.2213134765625,0
0.07999999821186066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95916748046875,32.576778411865234,37.144317626953125,70.5023193359375,29.227294921875,0
0.09000000357627869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.00166320800781,32.612091064453125,37.110198974609375,74.2559814453125,30.9210205078125,0
0.10000000149011612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.09264373779297,32.61508560180664,37.126956939697266,77.689208984375,31.668701171875,0
0.10999999940395355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2476692199707,32.60790252685547,37.199981689453125,80,31.4398193359375,0
0.11999999731779099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.44997787475586,32.60610580444336,37.322086334228516,80,30.0054931640625,0
0.12999999523162842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.671443939208984,32.6204719543457,37.4801025390625,80,27.8692626953125,0
0.14000000059604645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.858192443847656,32.66596221923828,37.655479431152344,80,26.3128662109375,0
0.15000000596046448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.95874786376953,32.73659133911133,37.81589126586914,80,25.7635498046875,0
0.1599999964237213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.95695114135742,32.82996368408203,37.933204650878906,80,26.5570068359375,0
0.17000000178813934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.871360778808594,32.94009780883789,38.0008430480957,80,29.166259765625,0
0.18000000715255737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74506378173828,33.0538215637207,38.02059555053711,80,32.767333984375,0
0.1899999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.63493347167969,33.148990631103516,38.01161575317383,80,35.8038330078125,0
0.20000000298023224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5882453918457,33.230995178222656,37.997249603271484,80,38.016357421875,0
0.20999999344348907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.63852310180664,33.310001373291016,37.997249603271484,80,39.69482421875,0
0.2199999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.77379608154297,33.397987365722656,38.02059555053711,79.886474609375,41.3580322265625,0
0.23000000417232513,0.19318202137947083,0.16916297376155853,0.19645920395851135,0.21766753494739532,0.15870141983032227,0.1609956920146942,0.17243224382400513,0.18479540944099426,0.15367917716503143,0.15293626487255096,0.14264614880084991,0.16483855247497559,0.14263904094696045,0.1364808976650238,0.17347225546836853,0.17691336572170258,0.1713283658027649,0.13425487279891968,0.15721121430397034,0.17584754526615143,0.19002947211265564,0.20022916793823242,0.16415280103683472,0.17367789149284363,0.18856994807720184,0.15753291547298431,0.14648543298244476,0.10954129695892334,0.11585234105587006,0.19702816009521484,0.18989723920822144,0.1879369616508484,0.24995596706867218,0.1744200438261032,0.14653277397155762,0.10615735501050949,0.10057628899812698,0.17039699852466583,0.15258371829986572,0.1735668033361435,46.96892166137695,33.50273513793945,38.06787872314453,79.306640625,42.62451171875,0
0.23999999463558197,0.46038004755973816,0.4777863919734955,0.5678362250328064,0.581953763961792,0.4361317753791809,0.4358144998550415,0.45716220140457153,0.5641233325004578,0.4060749411582947,0.4349350333213806,0.3488972783088684,0.5088816285133362,0.3966832458972931,0.34190234541893005,0.49296554923057556,0.5216030478477478,0.4927841126918793,0.34916436672210693,0.4427673816680908,0.4895714223384857,0.5679775476455688,0.5960891246795654,0.4600934684276581,0.5012449026107788,0.5486965179443359,0.43353524804115295,0.422452449798584,0.307235985994339,0.3202364444732666,0.6076381206512451,0.533065140247345,0.5280687212944031,0.813227653503418,0.4759752154350281,0.4057081341743469,0.35555481910705566,0.3544844388961792,0.5264548063278198,0.4418742060661316,0.5146310925483704,47.17662048339844,33.62424087524414,38.13671112060547,79.1998291015625,43.4942626953125,0
0.25,0.21531137824058533,0.2408888041973114,0.33584272861480713,0.22371114790439606,0.1610051393508911,0.18953827023506165,0.18574029207229614,0.33231401443481445,0.303530752658844,0.2991577982902527,0.1760885864496231,0.24948033690452576,0.2126081883907318,0.16351905465126038,0.22158914804458618,0.23099736869335175,0.2525999844074249,0.3170076608657837,0.227718785405159,0.240408256649971,0.3505302667617798,0.312367707490921,0.2917201519012451,0.3027980923652649,0.26124295592308044,0.2114381045103073,0.21036939322948456,0.17967574298381805,0.19331425428390503,0.2888721525669098,0.2253708839416504,0.26969167590141296,0.4480089545249939,0.2317374050617218,0.21199482679367065,0.30936771631240845,0.3514673113822937,0.32738205790519714,0.3484216332435608,0.30860474705696106,47.36695861816406,33.74933624267578,38.2163200378418,79.4439697265625,43.3721923828125,0
0.25999999046325684,0.11935549974441528,0.2640596032142639,0.25463631749153137,0.11071498692035675,0.10189757496118546,0.05694856867194176,0.1339162141084671,0.27017390727996826,0.2350907325744629,0.261786550283432,0.1797678917646408,0.1217893436551094,0.10312389582395554,0.15278246998786926,0.12420155853033066,0.1312304139137268,0.12338646501302719,0.18833376467227936,0.14373977482318878,0.11939578503370285,0.1268598735332489,0.19874677062034607,0.19938410818576813,0.16905894875526428,0.1279425323009491,0.10479840636253357,0.12263530492782593,0.15141957998275757,0.15328170359134674,0.10698738694190979,0.11292940378189087,0.17135438323020935,0.15815265476703644,0.21174243092536926,0.14868643879890442,0.19676139950752258,0.2370157539844513,0.20767496526241302,0.19690540432929993,0.15294572710990906,47.52737045288086,33.88341522216797,38.29473114013672,79.85595703125,42.197265625,0
0.27000001072883606,0.14172764122486115,0.20850786566734314,0.17496126890182495,0.1735786348581314,0.20442086458206177,0.08091985434293747,0.13874217867851257,0.14988622069358826,0.2612147331237793,0.19533538818359375,0.22359800338745117,0.256778359413147,0.15339763462543488,0.1186278909444809,0.11473110318183899,0.12557104229927063,0.14913606643676758,0.19054430723190308,0.133371502161026,0.11377573758363724,0.11900237202644348,0.104962058365345,0.12011387944221497,0.09268233180046082,0.10449719429016113,0.09760129451751709,0.10129505395889282,0.1469351202249527,0.10185961425304413,0.10583007335662842,0.14075225591659546,0.11046602576971054,0.1429988592863083,0.19431540369987488,0.1281794309616089,0.15303564071655273,0.2157335877418518,0.14003726840019226,0.12393855303525925,0.15308058261871338,47.6710205078125,34.014495849609375,38.358177185058594,80,40.3662109375,0
